5	excellent game. good.
5	very good game. grandson loves it.
5	fits perfectly, with an amazing opening in the back to pass all my cables
5	excellent just as described
5	it worked perfectly and the game is amazing! always wanted to play this game!
5	my brother orded this game and it came in used obviously but it was very good and no scratches.
5	played this game when it first came out on the gamecube and it was amazing.  must have
5	sound quality is very good easy to use
5	excellent just as described
5	very good. hope there's a sequel
5	this product is an excellent seller and very very cool thank you
1	such a waste of money...
1	listen to the negative reviews. just wasted $50 on a (very convincing) fake.
5	amazing control i recommend
5	love it. it has excellent graphics. love assassin creed bundle.
3	it's ok but spider-man sounds like a little wiener!
5	excellent shipping excellent product even came with the case and all of the manual
5	excellent old school survival horror!
5	works amazing and it got deliver on time.  i recommend it!!!!!!
5	works perfectly - excellent product.
1	broke immediately. waste of money.
5	amazing. couldn't be happier, i use this playing modern combat 5 for ios and it is outstanding.
5	excellent game, great bargain!
5	great product excellent price arrived on time.
5	very good quality. never can go wrong with a turtle beach.
5	works amazingly well  totally worth it
1	huge waste of money does not take out 3ds screws
5	the game is amazing. no problems with buying it off amazon whatsoever
5	awesome seller excellent communication great product for the price
5	excellent toy with plenty of hd space! graphics are incredible!! true 1020p!
5	very happy with product. packaged very good.
5	excellent shipping excellent product even came with all of the manuals and case
5	excellent condition highly recommended
5	a very good price and it works really well 5 star product
5	fantastic love this game very good condition can't get any better
5	excellent!  made my son's whole day!!!  he loves it!
5	excellent product!!! fast delivery!
5	i was very happy with item, it arrived as promised, cutomer service was excellent
5	game worked like a dream. very good price too. was very happy with the product.
5	amazing images, the graphics are great. i am enjoying this game on the ps4.
5	amazing game and fast delivery<br /><br />thanks
5	amazingly fast shipping will order again!
5	looks amazing and fits my 3ds xl perfectly or my smaller 3ds too! very cute and good condition.
5	better than before~! sounds amazing~!
5	a very good repairing software for mac!
5	amazing game, great quality, and fast shipment. =^^=
5	excellent product very satisfied... love this thing
5	excellent product very satisfied, works great
5	excellent, played many hours without getting bored.
1	cheap made buttons don't fit. waste of money.
5	fantastic, an essential memory cartridge if you have a sega saturn
4	it 's very good fun !
5	just fantastic; great story, fun game play, and sexy mages.
5	excellent product very satisfied
5	small. doesn't take up much room. works very good. packaging was perfect.
5	very content and excellent quality.<br /><br />much appreciated
5	works excellent, but due to the camo skin, i sometimes have trouble finding it.
5	amazing quality and very light weight! fantastic for pc gaming.
5	came in excellent condition and constantly played i love this
5	delivered on time excellent!
5	excellent combination of science and technology bundled in xo four stealth.enjoying the masterpeice
5	excellent service and it works great!
1	sucked game don't work n i didn't bother to waste my time to return it
